"X","family","T1","dT2.1","dT2.2","dT3.1","dT3.2","dT3.3","dT3.4","Colony_size","predicted.celltype"
"AD1-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Monocytes"
"AD12-I-F5","I_F5",45,18,18,15,16,17,17,9,"Monocytes"
"AD13-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Monocytes"
"AD14-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD15-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD16-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD17-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD18-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD20-I-F5","I_F5",45,18,18,15,16,17,17,9,"Erythrocytes"
"AD21-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD22-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD23-I-F5","I_F5",45,18,18,15,16,17,17,9,"CD34+_CD38+"
"AD24-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Monocytes"
"AD25-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+"
"AD26-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+"
"AD27-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"Erythrocytes"
"AD28-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"Erythrocytes"
"AD29-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"Erythrocytes"
"AD30-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Monocytes"
"AD31-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"Erythrocytes"
"AD32-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+"
"AD33-II-A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,"CD34+"
"AD34-I-D5","I_D5",65,18,20,NA,NA,NA,NA,4,"CD34+"
"AD37-II-E1","II_E1",41,16,16,13,13,13,14,15,"Erythrocytes"
"AD38-II-E1","II_E1",41,16,16,13,13,13,14,15,"Erythrocytes"
"AD39-II-E1","II_E1",41,16,16,13,13,13,14,15,"Erythrocytes"
"AD4-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Erythrocytes"
"AD40-II-E1","II_E1",41,16,16,13,13,13,14,15,"Erythrocytes"
"AD41-II-E1","II_E1",41,16,16,13,13,13,14,15,"Erythrocytes"
"AD43-II-E11","II_E11",56,22,22,NA,NA,NA,NA,4,"Erythrocytes"
"AD44-II-E11","II_E11",56,22,22,NA,NA,NA,NA,4,"Erythrocytes"
"AD45-II-E11","II_E11",56,22,22,NA,NA,NA,NA,4,"Monocytes"
"AD46-I-D5","I_D5",65,18,20,NA,NA,NA,NA,4,"CD34+"
"AD47-I-D5","I_D5",65,18,20,NA,NA,NA,NA,4,"Erythrocytes"
"AD48-I-D5","I_D5",65,18,20,NA,NA,NA,NA,4,"CD34+"
"AD49-I-D5","I_D5",65,18,20,NA,NA,NA,NA,4,"CD34+"
"AD5-I-E12","I_E12",49,16,16,16,17,21,21,8,"Monocytes"
"AD52-II-G3","II_G3",57,23,26,NA,NA,NA,NA,4,"Granulocytes_Neutrophiles"
"AD53-II-G3","II_G3",57,23,26,NA,NA,NA,NA,4,"Granulocytes_Neutrophiles"
"AD54-I-E7","I_E7",58,NA,NA,NA,NA,NA,NA,2,"CD34+"
"AD55-II-H5","II_H5",48,19,19,NA,NA,NA,NA,4,"Granulocytes_Neutrophiles"
"AD56-I-E7","I_E7",58,NA,NA,NA,NA,NA,NA,2,"CD34+"
"AD57-II-H5","II_H5",48,19,19,NA,NA,NA,NA,4,"Granulocytes_Neutrophiles"
"AD59-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD6-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Monocytes"
"AD60-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD61-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD62-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD63-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD64-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD65-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD66-III-B12","III_B12",25,20,21,15.5,18.5,18.5,20.5,14,"Erythrocytes"
"AD67-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"Erythrocytes"
"AD69-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+"
"AD7-I-B12","I_B12",60,20,20,NA,NA,NA,NA,4,"Granulocytes_Neutrophiles"
"AD70-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+"
"AD71-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"Erythrocytes"
"AD72-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"Erythrocytes"
