"X","family","T1","dT2.1","dT2.2","dT3.1","dT3.2","dT3.3","dT3.4","Colony_size","avg_dT2","avg_dT3","var_dT2","var_dT3","max_var","min_var","predicted.celltype"
"AD1.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"CD34+CD38-/HPC"
"AD4.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"CD34+CD38-/HPC"
"AD5.I.E12","I_E12",49,16,16,16,17,21,21,8,16,18.75,0,6.91666666666667,6.91666666666667,0,"CD34+CD38-/HPC"
"AD6.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"CD34+CD38-/HPC"
"AD7.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"GraP"
"AD8.I.E12","I_E12",49,16,16,16,17,21,21,8,16,18.75,0,6.91666666666667,6.91666666666667,0,"MyP"
"AD12.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"CD34+CD38-/HPC"
"AD13.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"CD34+CD38-/HPC"
"AD14.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD15.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD16.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD17.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD18.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD20.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD21.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD22.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD23.I.F5","I_F5",45,18,18,15,16,17,17,9,18,16.25,0,0.916666666666667,0.916666666666667,0,"EryP/MkP"
"AD24.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"CD34+CD38-/HPC"
"AD25.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"MyP"
"AD26.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"MyP"
"AD27.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"CD34+CD38-/HPC"
"AD28.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"CD34+CD38-/HPC"
"AD29.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"MyP"
"AD30.I.B12","I_B12",60,20,20,NA,NA,NA,NA,4,20,NA,0,NA,0,0,"CD34+CD38-/HPC"
"AD31.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"MyP"
"AD32.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"MyP"
"AD33.II.A1","II_A1",44,17,18,14.5,14.5,14.5,17.5,8,17.5,15.25,0.5,2.25,2.25,0.5,"MyP"
"AD34.I.D5","I_D5",65,18,20,NA,NA,NA,NA,4,19,NA,2,NA,2,2,"MyP"
"AD37.II.E1","II_E1",41,16,16,13,13,13,14,15,16,13.25,0,0.25,0.25,0,"CD34+CD38-/HPC"
"AD38.II.E1","II_E1",41,16,16,13,13,13,14,15,16,13.25,0,0.25,0.25,0,"CD34+CD38-/HPC"
"AD39.II.E1","II_E1",41,16,16,13,13,13,14,15,16,13.25,0,0.25,0.25,0,"CD34+CD38-/HPC"
"AD40.II.E1","II_E1",41,16,16,13,13,13,14,15,16,13.25,0,0.25,0.25,0,"CD34+CD38-/HPC"
"AD41.II.E1","II_E1",41,16,16,13,13,13,14,15,16,13.25,0,0.25,0.25,0,"CD34+CD38-/HPC"
"AD43.II.E11","II_E11",56,22,22,NA,NA,NA,NA,4,22,NA,0,NA,0,0,"CD34+CD38-/HPC"
