"X","family","T1","dT2.1","dT2.2","dT3.1","dT3.2","dT3.3","dT3.4","Colony_size","predicted.celltype","avg_dT2","avg_dT3","var_dT2","var_dT3","max_var","min_var","distance"
"IB9plate1G1","IB9",36,15,15,13,13,14,15,19,"GraP",15,13.75,0,0.916666666666667,0.916666666666667,0,0.142219086617222
"IB9plate1H1","IB9",36,15,15,13,13,14,15,19,"GraP",15,13.75,0,0.916666666666667,0.916666666666667,0,0.142219086617222
"IB12plate1A2","IB12",51,15,15,14,15,15,16,8,"EryP/MkP",15,15,0,0.666666666666667,0.666666666666667,0,0.120022744756102
"IB12plate1B2","IB12",51,15,15,14,15,15,16,8,"EryP/MkP",15,15,0,0.666666666666667,0.666666666666667,0,0.120022744756102
"IB12plate1C2","IB12",51,15,15,14,15,15,16,8,"CD34+CD38-/HPC",15,15,0,0.666666666666667,0.666666666666667,0,0.120022744756102
"IB12plate1E2","IB12",51,15,15,14,15,15,16,8,"CD34+CD38-/HPC",15,15,0,0.666666666666667,0.666666666666667,0,0.120022744756102
"IB12plate1F2","IB12",51,15,15,14,15,15,16,8,"CD34+CD38-/HPC",15,15,0,0.666666666666667,0.666666666666667,0,0.120022744756102
"IC7plate1G2","IC7",41,18,20,15,15,16,16,10,"CD34+CD38-/HPC",19,15.5,2,0.333333333333333,2,0.333333333333333,0.13421727769547
"IC7plate1A3","IC7",41,18,20,15,15,16,16,10,"CD34+CD38-/HPC",19,15.5,2,0.333333333333333,2,0.333333333333333,0.13421727769547
"IC7plate1B3","IC7",41,18,20,15,15,16,16,10,"CD34+CD38-/HPC",19,15.5,2,0.333333333333333,2,0.333333333333333,0.13421727769547
"ID11plate1C3","ID11",36,14,16,14,16,18,18,14,"EryP/MkP",15,16.5,2,3.66666666666667,3.66666666666667,2,0.104998283194847
"ID11plate1F3","ID11",36,14,16,14,16,18,18,14,"CD34+CD38-/HPC",15,16.5,2,3.66666666666667,3.66666666666667,2,0.104998283194847
"ID11plate1G3","ID11",36,14,16,14,16,18,18,14,"CD34+CD38-/HPC",15,16.5,2,3.66666666666667,3.66666666666667,2,0.104998283194847
"ID11plate1H3","ID11",36,14,16,14,16,18,18,14,"CD34+CD38-/HPC",15,16.5,2,3.66666666666667,3.66666666666667,2,0.104998283194847
"ID11plate1B4","ID11",36,14,16,14,16,18,18,14,"CD34+CD38-/HPC",15,16.5,2,3.66666666666667,3.66666666666667,2,0.104998283194847
"ID12plate1D4","ID12",56,16,16,NA,NA,NA,NA,4,"CD34+CD38-/HPC",16,NA,0,NA,0,0,0.241717876974742
"ID12plate1E4","ID12",56,16,16,NA,NA,NA,NA,4,"MyP",16,NA,0,NA,0,0,0.241717876974742
"IF8plate1G4","IF8",40,12,13,10.5,11.5,13.5,13.5,16,"MyP",12.5,12.25,0.5,2.25,2.25,0.5,0.392570132367483
"IF8plate1A5","IF8",40,12,13,10.5,11.5,13.5,13.5,16,"MyP",12.5,12.25,0.5,2.25,2.25,0.5,0.392570132367483
"IF8plate1E5","IF8",40,12,13,10.5,11.5,13.5,13.5,16,"EryP/MkP",12.5,12.25,0.5,2.25,2.25,0.5,0.392570132367483
"IE4plate1F5","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"EryP/MkP",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IE4plate1G5","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"CD34+CD38-/HPC",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IE4plate1H5","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"CD34+CD38-/HPC",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IE4plate1A6","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"CD34+CD38-/HPC",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IE4plate1B6","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"CD34+CD38-/HPC",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IE4plate1C6","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"CD34+CD38-/HPC",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IE4plate1E6","IE4",37,13,14,11.5,11.5,11.5,12.5,23,"CD34+CD38-/HPC",13.5,11.75,0.5,0.25,0.5,0.25,0.348955825638278
"IG7plate1F6","IG7",54,15,15,14,14,14,17,8,"CD34+CD38-/HPC",15,14.75,0,2.25,2.25,0,0.361382255485883
"IG7plate1G6","IG7",54,15,15,14,14,14,17,8,"CD34+CD38-/HPC",15,14.75,0,2.25,2.25,0,0.361382255485883
"IG7plate1H6","IG7",54,15,15,14,14,14,17,8,"MyP",15,14.75,0,2.25,2.25,0,0.361382255485883
"IG7plate1A7","IG7",54,15,15,14,14,14,17,8,"MyP",15,14.75,0,2.25,2.25,0,0.361382255485883
"IH12plate1F7","IH12",43,17,18,18.5,19.5,20.5,20.5,8,"EryP/MkP",17.5,19.75,0.5,0.916666666666667,0.916666666666667,0.5,0.111139827306699
