"","family","T1","avg_dT2","avg_dT3","predicted.celltype","Colony_size","exp","distance"
"A1BG",0,0,0,0,0,0,0,0
"A1BG-AS1",0,0,0,0,0,0,0,0
"A2M",0,0,0,0,0,0,0,0
"A2M-AS1",0,0,0,0,0,0,0,0
"A2ML1",0,0,0,0,0,0.003386,0,0
"A2ML1-AS2",0,0,0,0,0,0,0.012631,0
"A2MP1",0,0,0,0,0,0,0,0
"A4GALT",0,0,0,0,0,0,0,0
"AAAS",0,0,0,0,0.031229,0,0.012211,0.018265
"AACS",0,0,0,0,0,0,0,0
"AADAT",0,0,0,0,0,0,0,0
"AAGAB",0,0,0,0,0,0,0,0
"AAK1",0.021231,0,0,0,0,0,0,0
"AAMDC",0,0,0,0,0.025226,0,0.021817,0
"AAMP",0.053803,0,0,0,0.005132,0,0.011829,0
"AANAT",0,0,0,0,0,0,0,0
"AAR2",0,0,0,0,0,0,0,0
"AARD",0,0,0,0,0,0,0,0
"AARS1",0.010429,0,0,0,0,0,0,0.00369
"AARS2",0,0,0,0,0,0,0,0
"AARSD1",0,0,0,0,0.01739,0,0,0
"AASDH",0,0,0,0,0.013063,0,0,0
"AASDHPPT",0,0,0,0,0,0,0,0.001674
"AASS",0,0,0,0,0,0,0,0
"AATBC",0,0,0,0,0,0,0,0
"AATF",0,0,0,0,0,0,0,0.03682
"AATK",0,0,0,0,0,0,0,0
"ABALON",0,0,0,0,0.018113,0,0,0
"ABAT",0,0,0,0,0,0,0,0
"ABBA01000935.2",0,0,0,0,0,0,0,0
"ABCA10",0,0,0,0,0,0,0,0
"ABCA11P",0,0,0.046425,0,0,0,0.001243,0
"ABCA12",0,0,0.001471,0,0,0,0.008764,0
"ABCA17P",0,0,0,0,0.003249,0,0,0
"ABCA2",0.142744,0.037799,0,0,0.036162,0,0,0
"ABCA3",0,0,0.014243,0,0,0,0,0
"ABCA4",0,0,0,0,0,0,0,0
"ABCA5",0,0,0,0,0,0,0,0
"ABCA6",0,0,0,0,0,0,0,0
"ABCA7",0,0,0,0,0.027837,0,0,0
"ABCA9",0,0,0,0,0,0,0,0
"ABCB1",0,0,0,0,0,0,0,0
"ABCB10",0.012423,0,0,0,0.044765,0,0,0
"ABCB4",0,0,0,0,0,0.005857,0,0
"ABCB6",0,0,0,0,0,0,0,0
"ABCB7",0,0,0,0,0,0,0,0
"ABCB8",0,0,0,0,0,0,0,0.001045
"ABCB9",0,0,0,0,0.00059,0,0,0
"ABCC1",0,0,0.014201,0,0,0,0,0
"ABCC10",0,0,0,0,0,0,0,0
"ABCC13",0,0.015425,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0
"ABCC3",0,0,0,0,0,0,0,0
"ABCC4",0.031633,0,0,0,0.110332,0.028146,0,0.01972
"ABCC5",0,0,0,0,0,0,0,0.006978
"ABCC5-AS1",0,0,0,0,0,0,0,0
"ABCC6",0,0,0,0,0,0,0,0
"ABCD1",0,0,0,0,0,0,0,0
"ABCD3",0,0,0,0,0.004473,0,0,0
"ABCD4",0,0,0,0,0.006052,0,0,0
"ABCE1",0.009474,0,0,0,0.000595,0,0.011182,0
"ABCF1",0,0,0,0,0,0,0,0
"ABCF2",0,0,0,0,0,0,0,0.013208
