"var_names","is_consequence","group","group_color","var_type"
"ABCA2",1,"Other","A9EBA9",1
"ABCC4",1,"Other","A9EBA9",1
"ABHD17B",1,"Other","A9EBA9",1
"ABI3",1,"Other","A9EBA9",1
"ABRACL",1,"Other","A9EBA9",1
"AC000089.1",1,"Other","A9EBA9",1
"AC002467.1",1,"Other","A9EBA9",1
"AC004057.1",1,"Other","A9EBA9",1
"AC005840.1",1,"Other","A9EBA9",1
"AC005912.1",0,"TF","F0C69C",1
"AC007161.1",1,"Other","A9EBA9",1
"AC007881.4",1,"Other","A9EBA9",1
"AC008038.1",1,"Other","A9EBA9",1
"AC009362.1",0,"TF","F0C69C",1
"AC010642.2",1,"Other","A9EBA9",1
"AC010997.6",1,"Other","A9EBA9",1
"AC011495.1",1,"Other","A9EBA9",1
"AC016596.3",1,"Other","A9EBA9",1
"AC018738.1",0,"TF","F0C69C",1
"AC021231.2",1,"Other","A9EBA9",1
"AC022210.1",1,"Other","A9EBA9",1
"AC023906.1",1,"Other","A9EBA9",1
"AC025040.1",1,"Other","A9EBA9",1
"AC025181.1",0,"TF","F0C69C",1
"AC025458.1",1,"Other","A9EBA9",1
"AC026124.1",1,"Other","A9EBA9",1
"AC026310.2",1,"Other","A9EBA9",1
"AC026403.1",1,"Other","A9EBA9",1
"AC027309.2",0,"TF","F0C69C",1
"AC068631.4",1,"Other","A9EBA9",1
"AC073548.1",1,"Other","A9EBA9",1
"AC073861.1",1,"Other","A9EBA9",1
"AC079250.1",0,"TF","F0C69C",1
"AC090498.1",1,"Other","A9EBA9",1
"AC090559.1",1,"Other","A9EBA9",1
"AC092428.1",1,"Other","A9EBA9",1
"AC097658.2",0,"TF","F0C69C",1
"AC098934.1",1,"Other","A9EBA9",1
"AC099560.2",1,"Other","A9EBA9",1
"AC107075.1",1,"Other","A9EBA9",1
"AC107956.1",1,"Other","A9EBA9",1
"AC107983.1",0,"TF","F0C69C",1
"AC116533.1",1,"Other","A9EBA9",1
"AC131235.2",1,"Other","A9EBA9",1
"AC135983.3",1,"Other","A9EBA9",1
"ACP3",1,"Other","A9EBA9",1
"ACTBP2",1,"Other","A9EBA9",1
"ADPGK",1,"Other","A9EBA9",1
"AFF4",1,"Other","A9EBA9",1
"AGPAT3",1,"Other","A9EBA9",1
"AGRN",1,"Other","A9EBA9",1
"AGTRAP",1,"Other","A9EBA9",1
"AHSA1",1,"Other","A9EBA9",1
"AIP",1,"Other","A9EBA9",1
"AKR1A1",1,"Other","A9EBA9",1
"AKR1B1",1,"Other","A9EBA9",1
"AL009174.1",1,"Other","A9EBA9",1
"AL021368.2",1,"Other","A9EBA9",1
"AL031714.1",1,"Other","A9EBA9",1
"AL031727.1",0,"TF","F0C69C",1
"AL031729.1",1,"Other","A9EBA9",1
"AL121601.1",1,"Other","A9EBA9",1
"AL138785.2",0,"TF","F0C69C",1
"AL139100.2",1,"Other","A9EBA9",1
"AL139353.3",1,"Other","A9EBA9",1
"AL157871.3",1,"Other","A9EBA9",1
"AL157895.2",1,"Other","A9EBA9",1
"AL161787.1",0,"TF","F0C69C",1
"AL162151.2",1,"Other","A9EBA9",1
"AL355472.1",0,"TF","F0C69C",1
"AL355922.1",1,"Other","A9EBA9",1
"AL356000.1",1,"Other","A9EBA9",1
"AL356653.1",1,"Other","A9EBA9",1
"AL358472.1",1,"Other","A9EBA9",1
"AL445189.2",0,"TF","F0C69C",1
"AL450405.1",0,"TF","F0C69C",1
"AL450998.1",1,"Other","A9EBA9",1
"AL589863.1",1,"Other","A9EBA9",1
"AL590556.1",0,"TF","F0C69C",1
"AL590867.2",0,"TF","F0C69C",1
"AL592295.1",1,"Other","A9EBA9",1
"AL603825.1",1,"Other","A9EBA9",1
"AL731557.1",1,"Other","A9EBA9",1
"ALCAM",1,"Other","A9EBA9",1
"ALDH1A1",1,"Other","A9EBA9",1
"ALYREF",1,"Other","A9EBA9",1
"ANAPC11",1,"Other","A9EBA9",1
"ANAPC15",1,"Other","A9EBA9",1
"ANK1",1,"Other","A9EBA9",1
"ANKRD18A",1,"Other","A9EBA9",1
"ANKRD26",1,"Other","A9EBA9",1
"ANOS2P",1,"Other","A9EBA9",1
"ANTKMT",1,"Other","A9EBA9",1
"ANXA2P3",1,"Other","A9EBA9",1
"AP002761.4",1,"Other","A9EBA9",1
"AP2B1",1,"Other","A9EBA9",1
"AP2M1",1,"Other","A9EBA9",1
"AP2S1",1,"Other","A9EBA9",1
"APBB1IP",1,"Other","A9EBA9",1
"APOBEC3B",1,"Other","A9EBA9",1
"APOBEC3C",1,"Other","A9EBA9",1
"APOL6",1,"Other","A9EBA9",1
"APPL1",1,"Other","A9EBA9",1
"APRT",1,"Other","A9EBA9",1
"ARHGEF12",1,"Other","A9EBA9",1
"ARL11",1,"Other","A9EBA9",1
"ARL4C",1,"Other","A9EBA9",1
"ASH1L",1,"Other","A9EBA9",1
"ASIC4",1,"Other","A9EBA9",1
"ATG3",1,"Other","A9EBA9",1
"ATOX1",1,"Other","A9EBA9",1
"ATP2B1",1,"Other","A9EBA9",1
"ATP5F1B",1,"Other","A9EBA9",1
"ATP5F1C",1,"Other","A9EBA9",1
"ATP5F1D",1,"Other","A9EBA9",1
"ATP5F1E",1,"Other","A9EBA9",1
"ATP5IF1",1,"Other","A9EBA9",1
"ATP5MC1",0,"TF","F0C69C",1
"ATP5MC2",1,"Other","A9EBA9",1
"ATP5MC3",1,"Other","A9EBA9",1
"ATP5MD",1,"Other","A9EBA9",1
"ATP5ME",0,"TF","F0C69C",1
"ATP5MG",1,"Other","A9EBA9",1
"ATP5MPL",1,"Other","A9EBA9",1
"ATP5PF",1,"Other","A9EBA9",1
"ATP6V0A1",1,"Other","A9EBA9",1
"ATP6V0B",1,"Other","A9EBA9",1
"ATP8B4",0,"TF","F0C69C",1
"AURKAIP1",1,"Other","A9EBA9",1
"AVPR1B",1,"Other","A9EBA9",1
"AZU1",1,"Other","A9EBA9",1
"B2M",1,"Other","A9EBA9",1
"B4GALT5",1,"Other","A9EBA9",1
"B9D1",1,"Other","A9EBA9",1
"BAALC",1,"Other","A9EBA9",1
"BAHCC1",1,"Other","A9EBA9",1
"BANF1",1,"Other","A9EBA9",1
"BBX",1,"Other","A9EBA9",1
"BCAT2",1,"Other","A9EBA9",1
"BCL2L1",1,"Other","A9EBA9",1
"BCLAF1",1,"Other","A9EBA9",1
"BLVRB",1,"Other","A9EBA9",1
"BOD1L1",0,"TF","F0C69C",1
"BOLA3",1,"Other","A9EBA9",1
"BPTF",1,"Other","A9EBA9",1
"BST2",1,"Other","A9EBA9",1
"BX842570.1",1,"Other","A9EBA9",1
"C12orf57",1,"Other","A9EBA9",1
"C19orf53",1,"Other","A9EBA9",1
"C1orf162",1,"Other","A9EBA9",1
"C1QBP",1,"Other","A9EBA9",1
"C1QTNF4",0,"TF","F0C69C",1
"C4orf3",1,"Other","A9EBA9",1
"C9orf16",1,"Other","A9EBA9",1
"CALN1",1,"Other","A9EBA9",1
"CAPG",1,"Other","A9EBA9",1
"CARD11",1,"Other","A9EBA9",1
"CASP1",1,"Other","A9EBA9",1
"CASP3",1,"Other","A9EBA9",1
"CAVIN1",1,"Other","A9EBA9",1
"CAVIN2",0,"TF","F0C69C",1
"CBWD2",1,"Other","A9EBA9",1
"CCDC124",1,"Other","A9EBA9",1
"CCDC28B",0,"TF","F0C69C",1
"CCND2",1,"Other","A9EBA9",1
"CCT3",1,"Other","A9EBA9",1
"CCT4",1,"Other","A9EBA9",1
"CCT5",1,"Other","A9EBA9",1
"CCT7",1,"Other","A9EBA9",1
"CCT8",1,"Other","A9EBA9",1
"CD244",1,"Other","A9EBA9",1
"CD36",1,"Other","A9EBA9",1
"CD48",1,"Other","A9EBA9",1
"CD74",1,"Other","A9EBA9",1
"CD81",1,"Other","A9EBA9",1
"CD82",1,"Other","A9EBA9",1
"CD84",1,"Other","A9EBA9",1
"CD93",1,"Other","A9EBA9",1
"CD96",1,"Other","A9EBA9",1
"CDC26",1,"Other","A9EBA9",1
"CDC42",1,"Other","A9EBA9",1
"CDK13",1,"Other","A9EBA9",1
"CDK6",1,"Other","A9EBA9",1
"CEACAM4",1,"Other","A9EBA9",1
"CEBPD",0,"TF","F0C69C",1
"CENPX",1,"Other","A9EBA9",1
"CEP350",1,"Other","A9EBA9",1
"CFL1",1,"Other","A9EBA9",1
"CHCHD10",1,"Other","A9EBA9",1
"CHCHD2",1,"Other","A9EBA9",1
"CHCHD2P9",1,"Other","A9EBA9",1
"CHCHD7",1,"Other","A9EBA9",1
"CIAO2B",1,"Other","A9EBA9",1
"CIB1",1,"Other","A9EBA9",1
"CILP2",1,"Other","A9EBA9",1
"CITED2",1,"Other","A9EBA9",1
"CITED4",1,"Other","A9EBA9",1
"CKB",1,"Other","A9EBA9",1
"CKS1B",1,"Other","A9EBA9",1
"CLCN4",1,"Other","A9EBA9",1
"CLEC11A",1,"Other","A9EBA9",1
"CLINT1",1,"Other","A9EBA9",1
"CLU",0,"TF","F0C69C",1
"CMC1",1,"Other","A9EBA9",1
"CMPK2",1,"Other","A9EBA9",1
"CNBP",1,"Other","A9EBA9",1
"CNRIP1",0,"TF","F0C69C",1
"COMT",1,"Other","A9EBA9",1
"COPS9",1,"Other","A9EBA9",1
"COX14",1,"Other","A9EBA9",1
"COX17",1,"Other","A9EBA9",1
"COX4I1",1,"Other","A9EBA9",1
"COX5A",1,"Other","A9EBA9",1
"COX5B",1,"Other","A9EBA9",1
"COX6A1",0,"TF","F0C69C",1
"COX6B1",1,"Other","A9EBA9",1
"COX6C",1,"Other","A9EBA9",1
"COX7A2",1,"Other","A9EBA9",1
"COX7B",1,"Other","A9EBA9",1
"COX7C",1,"Other","A9EBA9",1
"COX7CP1",1,"Other","A9EBA9",1
"COX8A",1,"Other","A9EBA9",1
"CPA3",1,"Other","A9EBA9",1
"CPD",1,"Other","A9EBA9",1
"CPNE1",1,"Other","A9EBA9",1
"CPOX",1,"Other","A9EBA9",1
"CPPED1",1,"Other","A9EBA9",1
"CRLF3",1,"Other","A9EBA9",1
"CROCC",1,"Other","A9EBA9",1
"CRYBG1",0,"TF","F0C69C",1
"CSF2RB",0,"TF","F0C69C",1
